region,state,order_date,category,product_name,Total_Sales,Total_Profit,Quantity_Sold,Discount_Avg,Discount_Amount,Profit_Margin,Shipping_Time
Central,Illinois,2018-01-04,Office Supplies,Avery 508,11.78,4.27,3,0.2,2.356,0.3624787775891341,4.0
Central,Illinois,2018-01-04,Office Supplies,GBC Standard Plastic Binding Systems Combs,3.54,-5.49,2,0.8,2.8320000000000003,-1.5508474576271187,4.0
Central,Illinois,2018-01-04,Office Supplies,SAFCO Boltless Steel Shelving,272.74,-64.77,3,0.2,54.548,-0.23747891765050963,4.0
Central,Illinois,2018-02-06,Office Supplies,"Avery Flip-Chart Easel Binder, Black",8.95,-14.77,2,0.8,7.16,-1.6502793296089386,4.0
Central,Illinois,2018-02-17,Office Supplies,Staples in misc. colors,54.21,8.81,14,0.2,10.842,0.16251614093340713,7.0
Central,Illinois,2018-02-21,Office Supplies,GBC Standard Plastic Binding Systems Combs,8.85,-13.72,5,0.8,7.08,-1.5502824858757063,4.0
Central,Illinois,2018-03-01,Furniture,Novimex Swivel Fabric Task Chair,634.12,-172.12,6,0.3,190.236,-0.2714312748375702,4.0
Central,Illinois,2018-03-01,Office Supplies,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,5.68,3,0.2,3.4939999999999998,0.3251287922152261,4.0
Central,Illinois,2018-03-14,Office Supplies,Xerox 1963,8.45,2.64,2,0.2,1.69,0.3124260355029586,3.0
Central,Illinois,2018-03-14,Technology,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91,156.05,2,0.3,172.47299999999998,0.27143378963663883,3.0
Central,Illinois,2018-03-31,Office Supplies,Fellowes Black Plastic Comb Bindings,8.13,-13.83,7,0.8,6.504000000000001,-1.7011070110701105,4.0
Central,Illinois,2018-03-31,Technology,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,79.98,14.0,2,0.2,15.996000000000002,0.17504376094023505,4.0
Central,Illinois,2018-04-05,Office Supplies,Adjustable Personal File Tote,52.1,3.91,4,0.2,10.420000000000002,0.07504798464491363,2.0
Central,Illinois,2018-04-05,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",49.63,3.72,4,0.2,9.926000000000002,0.07495466451742898,2.0
Central,Illinois,2018-05-05,Office Supplies,Eldon Portable Mobile Manager,45.25,3.96,2,0.2,9.05,0.08751381215469613,5.0
Central,Illinois,2018-05-11,Office Supplies,Avery Arch Ring Binders,104.58,-172.56,9,0.8,83.664,-1.6500286861732645,4.0
Central,Illinois,2018-05-11,Office Supplies,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,5.68,3,0.2,3.4939999999999998,0.3251287922152261,4.0
Central,Illinois,2018-05-25,Furniture,"Electrix Incandescent Magnifying Lamp, Black",29.32,-24.19,2,0.6,17.592,-0.8250341064120055,4.0
Central,Illinois,2018-05-25,Office Supplies,Harmony Air Purifier,75.6,-166.32,2,0.8,60.48,-2.2,4.0
Central,Illinois,2018-05-26,Furniture,Global Commerce Series Low-Back Swivel/Tilt Chairs,359.77,-5.14,2,0.3,107.931,-0.014286905522973011,5.0
Central,Illinois,2018-05-26,Office Supplies,DIXON Ticonderoga Erasable Checking Pencils,13.39,3.18,3,0.2,2.6780000000000004,0.2374906646751307,5.0
Central,Illinois,2018-05-26,Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",102.62,7.7,3,0.2,20.524,0.07503410641200546,5.0
Central,Illinois,2018-05-27,Office Supplies,Fellowes Presentation Covers for Comb Binding Machines,17.46,-30.56,6,0.8,13.968000000000002,-1.7502863688430697,3.0
Central,Illinois,2018-05-30,Furniture,Chromcraft Rectangular Conference Tables,355.46,-184.84,3,0.5,177.73,-0.5200022506048501,6.0
Central,Illinois,2018-05-30,Technology,Brother DCP1000 Digital 3 in 1 Multifunction Machine,719.98,135.0,3,0.2,143.996,0.18750520847801327,4.0
Central,Illinois,2018-06-03,Furniture,"Contract Clock, 14"", Brown",61.54,-40.0,7,0.6,36.924,-0.6499837504062399,3.0
Central,Illinois,2018-06-03,Office Supplies,Avery 513,15.94,5.18,4,0.2,3.188,0.32496863237139273,3.0
Central,Illinois,2018-06-03,Office Supplies,Recycled Steel Personal File for Standard File Folders,132.7,9.95,3,0.2,26.54,0.07498116051243406,3.0
Central,Illinois,2018-06-06,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",13.98,4.72,2,0.2,2.7960000000000003,0.3376251788268955,6.0
Central,Illinois,2018-06-06,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",24.59,-38.11,3,0.8,19.672,-1.549816998779992,6.0
Central,Illinois,2018-06-07,Furniture,"Bevis Round Conference Table Top, X-Base",268.94,-209.77,3,0.5,134.47,-0.7799881014352644,4.0
Central,Illinois,2018-06-07,Office Supplies,Wilson Jones Century Plastic Molded Ring Binders,12.46,-20.56,3,0.8,9.968000000000002,-1.6500802568218296,3.0
Central,Illinois,2018-06-17,Office Supplies,Xerox 1892,62.02,22.48,2,0.2,12.404000000000002,0.36246372138019994,3.0
Central,Illinois,2018-06-30,Office Supplies,BIC Brite Liner Grip Highlighters,5.25,1.64,4,0.2,1.05,0.31238095238095237,2.0
Central,Illinois,2018-07-12,Office Supplies,Xerox 1949,35.86,13.0,9,0.2,7.172000000000001,0.36252091466815395,3.0
Central,Illinois,2018-07-12,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",23.84,3.28,4,0.2,4.768,0.13758389261744966,3.0
Central,Illinois,2018-07-14,Office Supplies,Acco D-Ring Binder w/DublLock,29.93,-46.39,7,0.8,23.944000000000003,-1.5499498830604745,6.0
Central,Illinois,2018-07-14,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,38.27,3.83,4,0.2,7.654000000000001,0.10007839038411287,6.0
Central,Illinois,2018-07-26,Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",123.55,-29.34,3,0.2,24.71,-0.23747470659651962,4.0
Central,Illinois,2018-08-20,Furniture,"Global Leather and Oak Executive Chair, Black",421.37,-6.02,2,0.3,126.411,-0.01428673137622517,5.0
Central,Illinois,2018-09-02,Technology,Logitech Wireless Performance Mouse MX for PC and Mac,239.98,53.99,3,0.2,47.996,0.22497708142345196,5.0
Central,Illinois,2018-09-02,Technology,Logitech Gaming G510s - Keyboard,475.94,95.19,7,0.2,95.188,0.20000420221036264,6.0
Central,Illinois,2018-09-07,Office Supplies,Acco Hot Clips Clips to Go,13.16,4.11,5,0.2,2.632,0.3123100303951368,7.0
Central,Illinois,2018-09-07,Office Supplies,Avery Heavy-Duty EZD View Binder with Locking Rings,3.83,-6.51,3,0.8,3.064,-1.6997389033942558,7.0
Central,Illinois,2018-09-07,Office Supplies,Ibico Hi-Tech Manual Binding System,304.99,-533.73,5,0.8,243.99200000000002,-1.7499918030099348,7.0
Central,Illinois,2018-09-09,Office Supplies,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",10.9,3.4,3,0.2,2.18,0.3119266055045871,5.0
