order_id,order_date,ship_date,ship_id,customer_id,region_id,product_id,sales,quantity,discount,profit,profit_margin,discount_amount,shipping_time_days
CA-2018-100006,2018-09-07,2018-09-13,2718,DK-13375,4,TEC-PH-10002075,377.97,3,0.0,109.61,0.29,0.0,6
CA-2018-100090,2018-07-08,2018-07-12,6288,EB-13705,2,OFF-BI-10001597,196.7,6,0.2,68.85,0.35,39.34,4
CA-2018-100090,2018-07-08,2018-07-12,6289,EB-13705,2,FUR-TA-10003715,502.49,3,0.2,-87.94,-0.17,100.5,4
CA-2018-100090,2018-07-08,2018-07-12,6288,EB-13705,2,FUR-TA-10003715,502.49,3,0.2,-87.94,-0.17,100.5,4
CA-2018-100090,2018-07-08,2018-07-12,6289,EB-13705,2,OFF-BI-10001597,196.7,6,0.2,68.85,0.35,39.34,4
CA-2018-100293,2018-03-14,2018-03-18,9515,NF-18475,1,OFF-PA-10000176,91.06,6,0.2,31.87,0.35,18.21,4
CA-2018-100328,2018-01-28,2018-02-03,3084,JC-15340,4,OFF-BI-10000343,3.93,1,0.2,1.33,0.34,0.79,6
CA-2018-100363,2018-04-08,2018-04-15,3836,JM-15655,2,OFF-FA-10000611,2.37,2,0.2,0.83,0.35,0.47,7
CA-2018-100363,2018-04-08,2018-04-15,3837,JM-15655,2,OFF-FA-10000611,2.37,2,0.2,0.83,0.35,0.47,7
CA-2018-100363,2018-04-08,2018-04-15,3836,JM-15655,2,OFF-PA-10004733,19.01,3,0.2,6.89,0.36,3.8,7
CA-2018-100363,2018-04-08,2018-04-15,3837,JM-15655,2,OFF-PA-10004733,19.01,3,0.2,6.89,0.36,3.8,7
CA-2018-100391,2018-05-25,2018-05-29,9441,BW-11065,4,OFF-PA-10001471,14.62,2,0.0,6.73,0.46,0.0,4
CA-2018-100678,2018-04-18,2018-04-22,6572,KM-16720,3,OFF-EN-10000056,149.35,3,0.2,50.41,0.34,29.87,4
CA-2018-100678,2018-04-18,2018-04-22,6569,KM-16720,3,TEC-AC-10000474,227.98,3,0.2,28.5,0.12,45.6,4
CA-2018-100678,2018-04-18,2018-04-22,6570,KM-16720,3,TEC-AC-10000474,227.98,3,0.2,28.5,0.12,45.6,4
CA-2018-100678,2018-04-18,2018-04-22,6571,KM-16720,3,TEC-AC-10000474,227.98,3,0.2,28.5,0.12,45.6,4
CA-2018-100678,2018-04-18,2018-04-22,6572,KM-16720,3,TEC-AC-10000474,227.98,3,0.2,28.5,0.12,45.6,4
CA-2018-100678,2018-04-18,2018-04-22,6571,KM-16720,3,FUR-CH-10002602,317.06,3,0.3,-18.12,-0.06,95.12,4
CA-2018-100678,2018-04-18,2018-04-22,6572,KM-16720,3,FUR-CH-10002602,317.06,3,0.3,-18.12,-0.06,95.12,4
CA-2018-100678,2018-04-18,2018-04-22,6571,KM-16720,3,OFF-EN-10000056,149.35,3,0.2,50.41,0.34,29.87,4
CA-2018-100678,2018-04-18,2018-04-22,6570,KM-16720,3,OFF-EN-10000056,149.35,3,0.2,50.41,0.34,29.87,4
CA-2018-100678,2018-04-18,2018-04-22,6569,KM-16720,3,OFF-EN-10000056,149.35,3,0.2,50.41,0.34,29.87,4
CA-2018-100678,2018-04-18,2018-04-22,6570,KM-16720,3,FUR-CH-10002602,317.06,3,0.3,-18.12,-0.06,95.12,4
CA-2018-100678,2018-04-18,2018-04-22,6569,KM-16720,3,FUR-CH-10002602,317.06,3,0.3,-18.12,-0.06,95.12,4
CA-2018-100678,2018-04-18,2018-04-22,6571,KM-16720,3,OFF-AR-10001868,2.69,2,0.2,1.01,0.37,0.54,4
CA-2018-100678,2018-04-18,2018-04-22,6570,KM-16720,3,OFF-AR-10001868,2.69,2,0.2,1.01,0.37,0.54,4
CA-2018-100678,2018-04-18,2018-04-22,6569,KM-16720,3,OFF-AR-10001868,2.69,2,0.2,1.01,0.37,0.54,4
CA-2018-100678,2018-04-18,2018-04-22,6572,KM-16720,3,OFF-AR-10001868,2.69,2,0.2,1.01,0.37,0.54,4
CA-2018-100706,2018-12-16,2018-12-18,9020,LE-16810,1,TEC-AC-10001314,99.98,2,0.0,8.0,0.08,0.0,2
CA-2018-100706,2018-12-16,2018-12-18,9021,LE-16810,1,FUR-FU-10002268,29.46,6,0.0,9.72,0.33,0.0,2
CA-2018-100706,2018-12-16,2018-12-18,9020,LE-16810,1,FUR-FU-10002268,29.46,6,0.0,9.72,0.33,0.0,2
CA-2018-100706,2018-12-16,2018-12-18,9021,LE-16810,1,TEC-AC-10001314,99.98,2,0.0,8.0,0.08,0.0,2
CA-2018-100762,2018-11-24,2018-11-29,6316,NG-18355,3,OFF-LA-10003930,196.62,2,0.0,96.34,0.49,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6315,NG-18355,3,OFF-LA-10003930,196.62,2,0.0,96.34,0.49,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6318,NG-18355,3,OFF-AR-10000380,151.92,4,0.0,45.58,0.3,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6317,NG-18355,3,OFF-AR-10000380,151.92,4,0.0,45.58,0.3,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6316,NG-18355,3,OFF-AR-10000380,151.92,4,0.0,45.58,0.3,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6315,NG-18355,3,OFF-AR-10000380,151.92,4,0.0,45.58,0.3,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6317,NG-18355,3,OFF-LA-10003930,196.62,2,0.0,96.34,0.49,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6316,NG-18355,3,OFF-PA-10001815,144.12,3,0.0,69.18,0.48,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6318,NG-18355,3,OFF-LA-10003930,196.62,2,0.0,96.34,0.49,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6317,NG-18355,3,OFF-PA-10001815,144.12,3,0.0,69.18,0.48,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6318,NG-18355,3,OFF-PA-10001815,144.12,3,0.0,69.18,0.48,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6315,NG-18355,3,OFF-PA-10001815,144.12,3,0.0,69.18,0.48,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6315,NG-18355,3,OFF-PA-10004082,15.96,2,0.0,7.98,0.5,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6318,NG-18355,3,OFF-PA-10004082,15.96,2,0.0,7.98,0.5,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6317,NG-18355,3,OFF-PA-10004082,15.96,2,0.0,7.98,0.5,0.0,5
CA-2018-100762,2018-11-24,2018-11-29,6316,NG-18355,3,OFF-PA-10004082,15.96,2,0.0,7.98,0.5,0.0,5
CA-2018-100860,2018-03-26,2018-03-30,9660,CS-12505,2,OFF-LA-10001982,18.75,5,0.0,9.0,0.48,0.0,4
CA-2018-100867,2018-10-19,2018-10-24,9462,EH-14125,2,TEC-PH-10004922,321.55,6,0.2,20.1,0.06,64.31,5
CA-2018-100881,2018-03-28,2018-04-01,8464,DR-12940,2,TEC-PH-10003273,302.38,3,0.2,22.68,0.07,60.48,4
CA-2018-100895,2018-06-02,2018-06-06,3889,SV-20785,1,OFF-AR-10004511,8.56,2,0.0,2.65,0.31,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3888,SV-20785,1,OFF-ST-10001490,356.94,2,0.0,107.08,0.3,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3890,SV-20785,1,TEC-PH-10001425,239.97,3,0.0,67.19,0.28,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3889,SV-20785,1,TEC-PH-10001425,239.97,3,0.0,67.19,0.28,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3889,SV-20785,1,OFF-ST-10001490,356.94,2,0.0,107.08,0.3,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3890,SV-20785,1,OFF-ST-10001490,356.94,2,0.0,107.08,0.3,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3888,SV-20785,1,OFF-AR-10004511,8.56,2,0.0,2.65,0.31,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3890,SV-20785,1,OFF-AR-10004511,8.56,2,0.0,2.65,0.31,0.0,4
CA-2018-100895,2018-06-02,2018-06-06,3888,SV-20785,1,TEC-PH-10001425,239.97,3,0.0,67.19,0.28,0.0,4
CA-2018-100916,2018-10-21,2018-10-26,7574,FH-14275,1,OFF-ST-10003479,194.7,5,0.0,9.73,0.05,0.0,5
CA-2018-100916,2018-10-21,2018-10-26,7573,FH-14275,1,OFF-ST-10003479,194.7,5,0.0,9.73,0.05,0.0,5
CA-2018-100916,2018-10-21,2018-10-26,7572,FH-14275,1,OFF-ST-10003479,194.7,5,0.0,9.73,0.05,0.0,5
CA-2018-100916,2018-10-21,2018-10-26,7574,FH-14275,1,FUR-TA-10004607,591.32,4,0.0,112.35,0.19,0.0,5
