ship_id,order_id,order_date,ship_date,ship_mode_id,customer_id,product_id,quantity
1,CA-2020-152156,2020-11-08,2020-11-11,1,CG-12520,FUR-BO-10001798,2
2,CA-2020-152156,2020-11-08,2020-11-11,1,CG-12520,FUR-CH-10000454,3
3,CA-2020-138688,2020-06-12,2020-06-16,1,DV-13045,OFF-LA-10000240,2
4,US-2019-108966,2019-10-11,2019-10-18,2,SO-20335,FUR-TA-10000577,5
5,US-2019-108966,2019-10-11,2019-10-18,2,SO-20335,OFF-ST-10000760,2
6,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,FUR-FU-10001487,7
7,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,OFF-AR-10002833,4
8,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,TEC-PH-10002275,6
9,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,OFF-BI-10003910,3
10,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,OFF-AP-10002892,5
11,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,FUR-TA-10001539,9
12,CA-2018-115812,2018-06-09,2018-06-14,2,BH-11710,TEC-PH-10002033,4
13,CA-2021-114412,2021-04-15,2021-04-20,2,AA-10480,OFF-PA-10002365,3
14,CA-2020-161389,2020-12-05,2020-12-10,2,IM-15070,OFF-BI-10003656,3
15,US-2019-118983,2019-11-22,2019-11-26,2,HP-14815,OFF-AP-10002311,5
16,US-2019-118983,2019-11-22,2019-11-26,2,HP-14815,OFF-BI-10000756,3
17,CA-2018-105893,2018-11-11,2018-11-18,2,PK-19075,OFF-ST-10004186,6
18,CA-2018-167164,2018-05-13,2018-05-15,1,AG-10270,OFF-ST-10000107,2
19,CA-2018-143336,2018-08-27,2018-09-01,1,ZD-21925,OFF-AR-10003056,2
20,CA-2018-143336,2018-08-27,2018-09-01,1,ZD-21925,TEC-PH-10001949,3
21,CA-2018-143336,2018-08-27,2018-09-01,1,ZD-21925,OFF-BI-10002215,4
22,CA-2020-137330,2020-12-09,2020-12-13,2,KB-16585,OFF-AR-10000246,7
23,CA-2020-137330,2020-12-09,2020-12-13,2,KB-16585,OFF-AP-10001492,7
24,US-2021-156909,2021-07-16,2021-07-18,1,SF-20065,FUR-CH-10002774,2
25,CA-2019-106320,2019-09-25,2019-09-30,2,EB-13870,FUR-TA-10000577,3
26,CA-2020-121755,2020-01-16,2020-01-20,1,EH-13945,OFF-BI-10001634,2
27,CA-2020-121755,2020-01-16,2020-01-20,1,EH-13945,TEC-AC-10003027,3
28,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,FUR-BO-10004834,7
29,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,OFF-BI-10000474,2
30,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,FUR-FU-10004848,3
31,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,OFF-EN-10001509,2
32,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,OFF-AR-10004042,6
33,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,OFF-BI-10001525,6
34,US-2019-150630,2019-09-17,2019-09-21,2,TB-21520,OFF-AR-10001683,2
35,CA-2021-107727,2021-10-19,2021-10-23,1,MA-17560,OFF-PA-10000249,3
36,CA-2020-117590,2020-12-08,2020-12-10,3,GH-14485,TEC-PH-10004977,7
37,CA-2020-117590,2020-12-08,2020-12-10,3,GH-14485,FUR-FU-10003664,5
38,CA-2019-117415,2019-12-27,2019-12-31,2,SN-20710,OFF-EN-10002986,9
39,CA-2019-117415,2019-12-27,2019-12-31,2,SN-20710,FUR-BO-10002545,3
40,CA-2019-117415,2019-12-27,2019-12-31,2,SN-20710,FUR-CH-10004218,3
41,CA-2019-117415,2019-12-27,2019-12-31,2,SN-20710,TEC-PH-10000486,4
42,CA-2021-120999,2021-09-10,2021-09-15,2,LC-16930,TEC-PH-10004093,4
43,CA-2020-101343,2020-07-17,2020-07-22,2,RA-19885,OFF-ST-10003479,2
44,CA-2021-139619,2021-09-19,2021-09-23,2,ES-14080,OFF-ST-10003282,2
45,CA-2020-118255,2020-03-11,2020-03-13,3,ON-18715,TEC-AC-10000171,2
46,CA-2020-118255,2020-03-11,2020-03-13,3,ON-18715,OFF-BI-10003291,2
47,CA-2018-146703,2018-10-20,2018-10-25,1,PO-18865,OFF-ST-10001713,4
48,CA-2020-169194,2020-06-20,2020-06-25,2,LH-16900,TEC-AC-10002167,3
49,CA-2020-169194,2020-06-20,2020-06-25,2,LH-16900,TEC-PH-10003988,2
50,CA-2019-115742,2019-04-18,2019-04-22,2,DP-13000,OFF-BI-10004410,6
51,CA-2019-115742,2019-04-18,2019-04-22,2,DP-13000,OFF-LA-10002762,6
52,CA-2019-115742,2019-04-18,2019-04-22,2,DP-13000,FUR-FU-10001706,2
53,CA-2019-115742,2019-04-18,2019-04-22,2,DP-13000,FUR-CH-10003061,1
54,CA-2020-105816,2020-12-11,2020-12-17,2,JM-15265,OFF-FA-10000304,7
55,CA-2020-105816,2020-12-11,2020-12-17,2,JM-15265,TEC-PH-10002447,5
56,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,OFF-ST-10000604,6
57,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,OFF-PA-10001569,5
58,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,FUR-CH-10003968,5
59,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,OFF-PA-10000587,2
60,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,TEC-AC-10002167,2
61,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,OFF-BI-10001460,4
62,CA-2020-111682,2020-06-17,2020-06-18,3,TB-21055,OFF-AR-10001868,1
63,CA-2019-135545,2019-11-24,2019-11-30,2,KM-16720,TEC-AC-10004633,2
64,CA-2019-135545,2019-11-24,2019-11-30,2,KM-16720,OFF-BI-10001078,6
65,CA-2019-135545,2019-11-24,2019-11-30,2,KM-16720,OFF-PA-10003892,3
66,CA-2019-135545,2019-11-24,2019-11-30,2,KM-16720,FUR-FU-10000397,4
67,US-2019-164175,2019-04-30,2019-05-05,2,PS-18970,FUR-CH-10001146,5
68,CA-2018-106376,2018-12-05,2018-12-10,2,BS-11590,OFF-AR-10002671,8
69,CA-2018-106376,2018-12-05,2018-12-10,2,BS-11590,TEC-PH-10002726,4
70,CA-2020-119823,2020-06-04,2020-06-06,3,KD-16270,OFF-PA-10000482,2
71,CA-2020-106075,2020-09-18,2020-09-23,2,HM-14980,OFF-BI-10004654,1
72,CA-2021-114440,2021-09-14,2021-09-17,1,TB-21520,OFF-PA-10004675,3
73,US-2019-134026,2019-04-26,2019-05-02,2,JE-15745,FUR-CH-10000513,8
74,US-2019-134026,2019-04-26,2019-05-02,2,JE-15745,FUR-FU-10003708,2
75,US-2019-134026,2019-04-26,2019-05-02,2,JE-15745,OFF-ST-10004123,1
76,US-2021-118038,2021-12-09,2021-12-11,3,KB-16600,OFF-BI-10004182,3
77,US-2021-118038,2021-12-09,2021-12-11,3,KB-16600,FUR-FU-10000260,3
78,US-2021-118038,2021-12-09,2021-12-11,3,KB-16600,OFF-ST-10000615,3
79,US-2018-147606,2018-11-26,2018-12-01,1,JE-15745,FUR-FU-10003194,5
80,CA-2020-127208,2020-06-12,2020-06-15,3,SC-20770,OFF-AP-10002118,1
81,CA-2020-127208,2020-06-12,2020-06-15,3,SC-20770,OFF-BI-10002309,3
82,CA-2018-139451,2018-10-12,2018-10-16,2,DN-13690,OFF-AR-10002053,5
83,CA-2018-139451,2018-10-12,2018-10-16,2,DN-13690,OFF-ST-10002370,1
84,CA-2019-149734,2019-09-03,2019-09-08,2,JC-16105,OFF-EN-10000927,7
85,US-2021-119662,2021-11-13,2021-11-16,3,CS-12400,OFF-ST-10003656,3
86,CA-2021-140088,2021-05-28,2021-05-30,1,PO-18865,FUR-CH-10000863,2
87,CA-2021-155558,2021-10-26,2021-11-02,2,PG-18895,TEC-AC-10001998,1
88,CA-2021-155558,2021-10-26,2021-11-02,2,PG-18895,OFF-LA-10000134,2
89,CA-2020-159695,2020-04-05,2020-04-10,1,GM-14455,OFF-ST-10003442,7
90,CA-2020-109806,2020-09-17,2020-09-22,2,JS-15685,OFF-AR-10004930,3
91,CA-2020-109806,2020-09-17,2020-09-22,2,JS-15685,TEC-PH-10004093,2
92,CA-2020-109806,2020-09-17,2020-09-22,2,JS-15685,OFF-PA-10000304,1
93,CA-2019-149587,2019-01-31,2019-02-05,1,KB-16315,OFF-PA-10003177,2
94,CA-2019-149587,2019-01-31,2019-02-05,1,KB-16315,FUR-FU-10003799,3
95,CA-2019-149587,2019-01-31,2019-02-05,1,KB-16315,OFF-BI-10002852,2
96,US-2021-109484,2021-11-06,2021-11-12,2,RB-19705,OFF-BI-10004738,1
97,CA-2021-161018,2021-11-09,2021-11-11,1,PN-18775,FUR-FU-10000629,7
98,CA-2021-157833,2021-06-17,2021-06-20,3,KD-16345,OFF-BI-10001721,3
99,CA-2020-149223,2020-09-06,2020-09-11,2,ER-13855,OFF-AP-10000358,6
100,CA-2020-158568,2020-08-29,2020-09-02,2,RB-19465,OFF-PA-10003256,7
101,CA-2020-158568,2020-08-29,2020-09-02,2,RB-19465,TEC-AC-10001767,3
102,CA-2020-158568,2020-08-29,2020-09-02,2,RB-19465,OFF-BI-10002609,3
103,CA-2020-129903,2020-12-01,2020-12-04,1,GZ-14470,OFF-PA-10004040,4
104,US-2019-156867,2019-11-13,2019-11-17,2,LC-16870,TEC-AC-10001552,6
105,US-2019-156867,2019-11-13,2019-11-17,2,LC-16870,FUR-FU-10004006,3
106,US-2019-156867,2019-11-13,2019-11-17,2,LC-16870,OFF-BI-10002794,3
